Date;Country;Description;MediaOutlet;URL;ImageText
"12-30-2021";"United States";"This year felt like one major disaster followed on the heels of another, with heat waves, hurricanes, fires, floods, and freezing weather all contributing to a deadly year — and the death toll has been alarmingly undercounted. Concerns over resources, particularly water, are mounting as drought in the West continues. Action from the government to address climate change remains stalled and limited. We looked back at the year in climate change and the disasters that are getting worse and more frequent as our world is altered by climate-polluting fossil fuels. Tap the link in our bio for more. (📸: Angelos Tzortzinis / AFP via Getty Images; Brandon Bell / Getty Images; Charly Triballeau / AFP via Getty Images; Picture Alliance / dpa/picture alliance via Getty Images; Anadolu Agency via Getty Images)";"Buzzfeed US";"https://www.instagram.com/p/CYHkPjsphTn/";"(empty)"
"12-30-2021";"United Kingdom";"Misinformation about the Covid pandemic and climate change is slowing an effective response to these global emergencies.

The BBC's Shayan Sardarizadeh and Kayleen Devlin explain the misinformation trends they have seen in 2021 and the effects they have had on lives around the world.

#BBCNews";"BBC News";"https://www.instagram.com/tv/CYG1m7Vofm6/";"Covid and climate: Misinformation trends in2021"
"12-29-2021";"United States";"Looking back at the #YearInPictures, October 2021 ⁣

Churchill, Manitoba, Oct. 31: Jasper Hunter, 10, ventured out on Halloween evening. Polar bear attacks are a real danger, so townspeople drive behind trick-or-treaters to protect them. 📸 @damonwinter

La Palma, Canary Islands, Oct. 30: A house peeked through an ash-covered landscape more than a month after the Cumbre Vieja volcano first erupted, destroying hundreds of homes and forcing the evacuation of thousands of people. 📸 Emilio Morenatti/@apnews

Baghdad, Oct. 10: A demonstration in Tahrir Square to commemorate activists killed by security forces and militias. An estimated 600 activists were killed during protests that began in 2019 to demand jobs and basic public services. 📸 @andreadicenzo

Palm Springs, California, Oct. 2: A couple at a pool party during Dinah Shore Weekend, an annual festival for queer women that made a triumphant return after a two-year hiatus. 📸 @michellegroskopf

Manhattan, Oct. 21: Eric Adams, the Democratic candidate for mayor of New York, spoke at the opening of the Summit One Vanderbilt observation deck in Midtown. 📸 @andrewseng

Dhiam Dhiam, South Sudan, Oct. 21: Amour Abach, 16, wore a mask at a school housing children displaced in floods. With much of the country under water, coronavirus safety measures and vaccines were a tough sell. 📸 @lynseyaddario

Churchill, Manitoba, Oct. 29: One of the several hundred polar bears that congregate around Churchill each year, waiting for sea ice to form in order to hunt. As the ice forms later in the year and melts earlier because of climate change, the bears’ hunting season has dwindled. 📸 @damonwinter";"New York Times";"https://www.instagram.com/p/CYEcRxeu8Uc/";"(empty)"
"12-28-2021";Chile;"El sondeo reveló que para un 56% de las y los encuestados el principal problema que les afecta es la #delincuencia e inseguridad ciudadana, seguido por un servicio de #salud deficiente (36%) y la #corrupción en la #política (32%). 

Tanto la delincuencia como los servicios de salud deficiente han liderado el listado desde la primera medición de este estudio, mientras que la corrupción por primera vez ocupa el tercer lugar. 

Ante estos resultados, Pía Mundaca, directora ejecutiva de Espacio Público señala que el estudio ""constata que los problemas que vienen afectando a las personas de manera persistente y con fuerza en los últimos cinco años son la delincuencia y la salud”. En ese sentido, advierte que “estos temas debieran ser prioridad para las autoridades"". 

Por su parte, Alejandra Ojeda, directora de Estudios Públicos de Ipsos Chile indica que ""la ciudadanía estará expectante de cuáles son las medidas concretas que el nuevo gobierno anuncie"".

👉 continúa leyendo en el link de la bio ❗";"Elmostrador.cl";"https://www.instagram.com/p/CYC1B40rU2U/";"과 elm ILTO Pensiones bajas y cambio climático: las preocupaciones que van en aumento entre los chilenos según estudio de Ipsos y Espacio Publico"
"12-28-2021";Spain;"A sus 47 años, con cerca de 60 papeles repartidos a lo largo de cuatro décadas, y asumido que el tiempo también pasa para él, Leonardo DiCaprio reparte últimamente sus favores entre sus amigos Scorsese, Spielberg, Nolan y Tarantino como lo que es: una mega estrella que además tiene merecida aureola de excelente en lo suyo. A tan aventajado grupo de notables se une estos días Adam McKay, que le ha puesto al frente de la película 'No mires arriba', que estrena Netflix tras un rápido paso por los cines. Un film en clave de comedia negra que aúna su talento como actor con su activismo mediambiental.

La Vanguardia - Da un poco de miedo lo cerca que está la película de la realidad...

DiCaprio - Lo interesante para mí es cómo establece una analogía perfecta con muchas de las cosas que están ocurriendo ahora y que demuestran la incapacidad de buena parte de la sociedad para escuchar en general, y a los científicos en particular. Muestra cómo ignoramos a la ciencia, como si no tuviera nada que ver con nuestras vidas. Lo que ocurre con los negacionistas o con el cambio climático es un claro ejemplo. A menudo en mi carrera he buscado películas que tuvieran un trasfondo ambiental, pero ocurre lo mismo que con la avalancha de noticias negativas sobre el cambio climático: mucha gente no quiere escucharlas. 

LV - También se acerca a películas sobre las conspiraciones que están tan de moda estos días…

LD - (...) Queríamos justo eso. Llegar ahí desde la franqueza sobre la crisis climática que es un asunto abrumador y deprimente que genera todo tipo de teorías sobre conspiraciones, pero que, si lo dotas de un envoltorio de comedia, por oscura que sea, te ofrece una oportunidad de oro para llegar al gran púbico. Como activista y como intérprete, para mí ha sido una oportunidad que no podía obviar, encapsulada en este momento tan preciso, y tal vez podré mirar hacia atrás y pensar que logramos provocar conversación y aportamos algo real para variar las cosas en una dirección específica.

Lee la entrevista completa de Juan Luis Álvares, en la bio 📲 https://bit.ly/3sqBfSu #cine #leonardodicaprio #dicaprio #actores";"La Vanguardia";"https://www.instagram.com/p/CYBin80oYlM/";"V ""Ignoramos a la ciencia, como si no tuviera nada que ver con nuestras vidas"" Leonardo DiCaprio actor"
"12-28-2021";"United States";"The ten most expensive weather disasters this year caused more than $170 billion in damage, $20 billion more than in 2020, a British aid group said Monday.⁠
⁠
The most expensive disaster in 2021 was Hurricane Ida, which lashed the eastern United States and caused around $65 billion in damages.⁠
⁠
For more, go to link in bio.";"CBS US";"https://www.instagram.com/p/CYAkyshtyVe/";"ထ0 2021's ten top weather disasters cost more than $170 billion -$20 billion more than last year. It blames climate change."
"12-27-2021";Chile;"Las 12.300 hectáreas quemadas hasta esta mañana en el incendio de El Almendro 2, entre las comunas de Los Sauces y Angol, muestran que los incendios forestales de gran magnitud están comenzando cada vez más temprano. El director de Conaf en La Araucanía lo atribuye a “la sequía de 10 años que tenemos en la región y al cambio climático”.

Revisa la nota de Ex-Ante en T13. Link en la bio.";"Canal 13";"https://www.instagram.com/p/CYALFtIgvGh/";"EMERGENCIA CLIMÁTICA T13 INCENDIOS FORESTALES La Araucanía registra SU peor diciembre en hectáreas quemadas desde 1984 T13.CL"
"12-27-2021";"United Kingdom";"🍁 Autumn colours could be cut short as climate change causes leaves to turn and drop earlier and more quickly, the National Trust has said in its annual review of nature in the UK.⁠
⁠
🌎 Climate change is “altering our landscapes forever”, the Trust said, with the familiar red and gold of autumn leaves from September into December potentially one of the casualties.⁠
⁠
This year, dry conditions from a warm September led to concerns that some trees would shed their leaves before Autumn arrived, the Trust said.⁠
⁠
☀️ Summer 2021 was one of the UK’s top ten hottest on record, despite dull skies in southern England for much of July and August.⁠
⁠
In the end, the extra September sunshine meant a “spectacular” array of reds in leaves when the Autumn colours finally arrived in October.⁠
⁠
🍂 Read more at the link in bio🍂⁠
⁠
#leaf #nationaltrust #autumn #nature";"The Daily Telegraph";"https://www.instagram.com/p/CX_mZHjtRuT/";"Autumn colours to be cut short as climate change is 'altering landscapes forever'"
"12-27-2021";"United Kingdom";"Climate-related disasters have caused tens of billions of dollars in damage in 2021, says a Christian Aid report.⁠
⁠
Four of the 10 most expensive disasters were in Asia, with floods and cyclones causing damage totalling $24 billion.⁠
⁠
Dr Kat Kramer Christian Aid's climate policy lead and report author said: ""The costs of climate change have been grave this year, both in terms of eye-watering financial losses but also in the death and displacement of people around the world.""";"Channel 4 News";"https://www.instagram.com/p/CX_b-HUOEZk/";"(empty)"
"12-27-2021";Chile;"Durante la mañana de este lunes, el Presidente electo, Gabriel Boric, anunció que no asistirá a la última gira internacional del Presidente Piñera.

""Las políticas de Estado y de relaciones internacionales son tremendamente relevantes para nosotros. Hemos puesto a disposición a quienes sean las futuras autoridades en materia de relaciones internacionales para realizar las gestiones convenientes para que no se entienda como un desaire de Estado"", aseguró Boric.

""Nuestras prioridades están en la conformación de equipos en Chile"", agregó.

""Le notifiqué personalmente la decisión al Presidente Piñera (...) lo comprendió perfectamente, está la mejor disposición para que la transición y el traspaso de mando se realice de la mejor manera posible"", señaló. 

""Prosur es una agenda propia del Presidente Piñera y está en su legítimo derecho (...) Vamos a analizar (la participación en Prosur) con la futuras autoridades de política internacional"", indicó el Presidente electo.

""Vamos a darle en el futuro prioridad a la Alianza del Pacífico, he conversado con los presidentes de México y de Colombia, con la cancillería de Perú"", dijo.

""Cuando nos toque asumir desarrollaremos nuestra agenda regional en función de perspectiva de colaboración para los desafíos como la pandemia, la crisis climática, las crisis migratoria, la cooperación económica como el fortalecimiento dela democracia"", destacó.";TVN;"https://www.instagram.com/p/CX_YkbcM_w6/";"024HORAS "" He decidido no asistir a la cumbre en Colombia (...) Nuestras prioridades están en la conformación de equipos aquí en Chile GABRIEL BORIC RIC. POR INVITACIÓN DE PIÑERA"
